result,number_of_fixations
5.252545802354316,0
5.280302155269643,1
5.29943829124676,2
5.328850168068698,2
5.331054608962423,3
5.355838339942164,3
5.37862656750355,4
5.394298742079196,4
5.397412078280986,4
5.401325672277584,4
5.434882702019199,4
5.438492026963228,4
5.440959040328622,4
5.451934511962081,5
5.46563486875092,5
5.471309199157065,6
5.481000612728355,5
5.484499878859457,5
5.4847589863025314,6
5.504527245031194,5
5.518611575434547,4
5.581317516524254,3
5.594136631501363,3
5.601991622293522,3
5.604520556866354,3
5.60493533182289,3
5.605516938266869,4
5.61454654779606,5
5.614951167975657,4
5.628042810586677,5
5.628106448816855,6
5.633759149854363,6
5.633771125130268,6
5.639511261927714,7
5.6478020025607725,6
5.6504917352013155,6
5.658786054724522,6
5.679346321028607,6
5.690820754826353,7
5.692618866928783,6
5.701665635179834,6
5.709655704263257,6
5.711273475393612,6
5.725202064063669,7
5.725688373152206,6
5.7264436966816055,7
5.736460294620839,7
5.740048253238086,8
5.74356563668012,8
5.750546621621223,8
5.750955934936078,7
5.756898418916357,7
5.760085925220447,7
5.7656135802874955,7
5.767577050713258,7
5.772992179980762,8
5.77632415284692,9
5.778291368137424,8
5.787287613812389,8
5.788103629755857,9
5.788782981936918,10
5.792222656401873,10
5.794757710038427,10
5.795060424963104,10
5.811504975095813,10
5.815943936334133,9
5.815943936334133,9
5.817096766798308,9
5.817299993153071,10
5.819184498365158,11
5.82089811140904,11
5.826117179316611,11
5.843499396852052,10
5.8448481148231854,9
5.8460478798696425,9
5.848048038567544,8
5.850094068270853,8
5.885980580187502,8
5.889358160585016,8
5.908692401356195,9
5.9244737429738255,9
5.925979507877721,9
5.935505655358231,8
5.941379643245657,8
5.957130555953178,8
5.959787422404207,8
5.961881997729236,8
5.971759959457837,8
5.974806704552814,8
5.97517250983501,7
5.997781757074425,8
6.013120226062912,9
6.015497953729472,9
6.020988017813536,9
6.02381107636012,8
6.025091709812789,8
6.032911727338906,7
6.040835683717334,7
6.046104754433659,6
6.065483428573203,5
6.087284731326506,4
6.123853803177628,3
6.12497984881893,3
6.161220258847264,3
6.184010636554977,3
6.192965898237663,4
6.200658143066333,5
6.212048243654607,5
6.252491019338468,4
6.281352250967112,4
6.284735596206941,3
6.287465007413946,4
6.28939733530439,4
6.293992880674819,4
6.33408652789921,3
6.340935338122939,3
6.347812333849462,4
6.35494072096836,3
6.432940432499671,2
6.44691071981837,3
6.482848364519312,3
6.516193645651764,4
6.518394025345362,4
6.6397016919607434,5
6.640694865707215,5
6.701328658840012,5
6.713785153844509,6
6.715278161431258,7
6.732982917934597,7
6.732982917934597,7
6.733545009831676,8
6.750006219460962,7
6.758148922777332,8
6.758884165968018,8
6.762630578778351,8
6.763642280000373,9
6.770534166692525,9
6.770932090944712,9
6.773982409080883,10
6.788573554637024,10
6.78882411211018,10
6.795609240563721,10
6.795721458633749,11
6.799898973241402,11
6.8011847636615474,11
6.804929141465082,11
6.813628962869473,11
6.823106501118838,11
6.826591758844328,11
